Density,Detonation velocity,Explosion pressure,Explosion heat,Explosion capacity,Solid phase formation enthalpy,SMILES,composite_score_0_1,mmff_strain_score_0_1
1.58,5955,14.5,4061.6,515.7,-347.02,C1(=CC=C(C=C1)N(=O)=O)(C2(=C(C(=NO2)N(=O)=O)C(=O)OC)),,
1.84,8724,34.2,6650.9,622.0,497.92,N1(=NC(=CN1N(=O)=O)C=2(N(N(=O)=O)C(=NC=2N(=O)=O)N(=O)=O)),,
1.72,7423,23.8,4803.8,653.0,274.79,N=1(NC(=NC=1N)C=2(N(N(=O)=O)C=NC=2(N(=O)=O))),,
1.73,7090,21.7,3855.1,746.1,326.18,N=1(N(N)C(=C(N=1)C=2(NC(N(=O)=O)=NC=2))N),,
1.68,6924,20.4,3761.0,746.1,306.4,N=2(N(C(=C(C1(=CNC(=N1)N(=O)=O))N=2)N)N),,
1.68,7248,22.4,4128.8,795.8,445.68,N1(=NC(=C(N1N)C=2(N(N)C(N)=NC=2))N(=O)=O),,
1.65,7059,21.0,3909.5,795.8,396.29,C=1(N=C(N(N=1)N)C2(=C(N)N(N=C2)N(=O)=O))(N),,
1.65,7015,20.7,4196.9,746.1,398.0,N=1(N(C(=C(N=1)N)C=2(NN=CC=2N(=O)=O))N),,
1.69,7117,21.6,4135.5,746.1,385.1,N=1(N(C(=C(N=1)N)C=2(C(N(=O)=O)=CNN=2))N),,
1.71,6690,19.2,4146.8,591.2,-382.19,O=C2(CC(C1(OC2(OC1)))N3(N=C(N(=O)=O)C(N(=O)=O)=C3)),,
1.71,6691,19.2,4147.2,591.2,-382.09,O=C3(CC(N1(N=C(N(=O)=O)C(N(=O)=O)=C1))C2(OC3(OC2))),,
1.5,4266,7.2,1962.9,559.5,-97.26,O=C1(N3(CCC(C3(=NC=2(C1=CC=CN=2)))=CC=4(C=CC(N(=O)=O)=CC=4))),,
1.65,7006,20.6,3902.5,804.2,410.23,N=1(ON=C(C=1N)C=2(N(N=CN=2)N)),,
1.65,7006,20.6,3902.5,804.2,410.23,N=1(ON=C(C=1N)C=2(N(N=CN=2)N)),,
1.59,5698,13.3,1778.8,949.4,293.77,N2(C=NC(C=1(N=CNN=1))=C2(N))(N),,
1.8,6981,21.6,3224.8,746.1,193.7,N1(N=C(N=C1(N))C2(=C(C(=NN2)N)N(=O)=O)),,
1.8,6981,21.6,3224.3,746.1,193.61,N2(C(=NC(C1(=C(C(=NN1)N)N(=O)=O))=N2)N),,
1.84,7179,23.2,3374.5,746.1,225.18,N=1(N=C(NC=1N)C2(=NNC(N)=C2N(=O)=O)),,
1.75,6857,20.5,3267.6,746.1,202.69,C2(N)(=NNC(C1(=NNC(=C1(N(=O)=O))N))=N2),,
1.87,8742,34.6,6464.4,622.0,439.15,C1(=NN(N(=O)=O)C(=N1)C2(=NN(C=C2N(=O)=O)N(=O)=O))(N(=O)=O),,
1.68,6900,20.2,5097.9,578.0,-194.58,O4(C3(C(N(=O)=O)C1(C(N4(OC3(C)(C2(=C1C(=CC=C2N(=O)=O)C))))(N(=O)=O)N(=O)=O))),,
1.52,6747,18.1,4720.7,736.3,476.09,N=1(ON=C(C=1)C=2(N=NC(N)N=2)),,
1.68,7205,22.1,3751.1,839.4,416.97,N2(=NN(N)C(C1(=C(N(C(=N1)N)N(=O)=O)N))=C2N),,
1.49,4454,7.8,2370.8,551.6,-294.04,O(C1(=CC=CC=C1))C2(C(NC2=O)C3(=CC=C(N(=O)=O)C=C3)),,
1.67,7061,21.1,3823.9,795.8,377.03,N2(=NC(C1(=NC(=C(N1)N)N))=C(N2N(=O)=O)N),,
1.81,7954,28.2,5213.9,680.4,428.77,N2(=CN(N)C(C1(=NN(C(=C1N(=O)=O)N)N(=O)=O))=N2),,
1.31,4193,6.3,2066.0,768.2,-244.08,O2(CC3(C(C2(C1(=CC=CC=C1)))(N(=O)=O)C3(C)(C))),,
1.54,5848,13.7,3384.7,731.4,34.34,C1(=NN(=O)=O)(C=C(C=CN1)C),,
1.72,7772,26.1,5496.3,680.4,500.81,N1(=NC=C(N1(N))C2(=C(C(=NN2N(=O)=O)N(=O)=O)N)),,
1.51,7009,19.5,6033.9,621.9,-9.36,C(=CN(=O)=O)C=CN(=O)=O,,
1.54,5178,10.8,3490.6,517.5,-488.74,COC3(=CC(C2(C(C=1(C(N(=O)=O)=CC=C(OC)C=1))O2))=C(C=C3)N(=O)=O),,
1.64,7064,20.9,3998.7,795.8,416.4,C2(=NN(N)C(C1(=CN(N)N=C1N(=O)=O))=N2)(N),,
1.56,5467,12.1,1597.7,949.4,263.87,N1(C=NC(=C1)C=2(N=C(N)N(N=2)N)),,
1.46,4348,7.3,2493.5,534.6,5.31,N(NC1(=CC=C(C=C1)N(=O)=O))=C3(C2(=C(C=CC=C2)C=CC3=O)),,
1.46,4348,7.3,2493.6,534.6,5.31,O=N(C1(=CC=C(C=C1)NN=C3(C=2(C(=CC=CC=2)C=CC3=O))))=O,,
1.59,8026,26.4,5405.6,983.8,984.62,C1(=NC(=NN1N)N=N).N2(NCNN2),,
1.6,6838,19.2,4626.4,688.7,418.79,C1(=NN(N)C(=N1)C2(=CN(N=C2)N(=O)=O)),,
1.37,4388,7.1,1912.6,682.7,-887.22,N(C1(=CC(C=O)=C(C=C1)OC(C(=O)OC)CCCC))(=O)=O,,
1.45,4299,7.1,2814.7,489.5,-66.46,C=2(C1(=CC=CC(=C1)N(=O)=O))(C=CC=CC=2C3(=CC(=CC=C3)N(=O)=O)),,
1.67,6185,16.2,1962.3,994.6,353.54,N2(=NC(C1(=NC=C(N1)N))=C(N2N)N),,
1.74,6956,21.0,3200.9,795.8,236.74,N1(C(=NC(=C1N)C=2(N=C(N(N=2)N(=O)=O)N))N),,
1.47,4158,6.7,2151.8,503.7,-540.15,O3(C(=O)C(C1(=CC=C(N(=O)=O)C=C1))=CC2(=C3(C(OCC)=CC=C2))),,
1.57,6248,15.9,4755.9,545.3,52.9,N(C=1(C=C(N(=O)=O)C=C(C=1C)N(=O)=O))NC=2(C(C)=C(N(=O)=O)C=C(C=2)N(=O)=O),,
1.57,6245,15.9,4755.9,545.3,52.91,N(C=1(C=C(N(=O)=O)C=C(C=1C)N(=O)=O))NC=2(C(C)=C(N(=O)=O)C=C(C=2)N(=O)=O),,
1.54,4873,9.5,3035.8,527.5,-65.54,O=N(=O)C2(=C(C1(=CC=CC=C1))N(C3(=C2C=C(C=C3)N(=O)=O))C),,
1.84,8515,32.6,5938.0,640.3,405.73,N=1(NC(=NC=1N(=O)=O)N2(C(N(=O)=O)=NN=C2(N(=O)=O))),,
1.65,6666,18.7,3427.7,746.1,236.35,N1(=CN=C(N1(N))C2(=NC(=C(N2)N(=O)=O)N)),,
1.76,8273,30.0,5169.3,836.8,623.0,N=1(N=C(N(N)N=1)C2(N(N)C(NN2)N(=O)=O)),,
1.57,5519,12.4,3285.5,513.7,-221.01,O=C1(C=2(C=CC=CC=2(C(N1NN(=O)=O)=O))),,
1.74,8130,28.7,5765.5,686.6,695.76,C1(=NN(C(=N1)N(=O)=O)NNN2(C=NC(N)=N2))(N(=O)=O),,
1.71,7426,23.7,5123.4,621.9,297.44,C=1(NN=C(N=1)C=2(N=CC(N=2)N(=O)=O))(N(=O)=O),,
1.88,8815,35.4,6035.5,697.9,244.6,C12(N(N(=O)=O)C4(C(N1)N(N(=O)=O)C3(C(N(C2N3(N(=O)=O))N(=O)=O)N4N(=O)=O))),,
1.62,6045,15.2,2134.1,889.3,322.53,N=1(NC(=NC=1N)N2(C=NN=C2)),,
1.71,7701,25.5,4932.6,749.3,695.66,C=1(N(N=C(N=1)NNC2(=NC=NN2N(=O)=O))N)(N),,
1.77,7832,26.9,5461.0,653.0,432.62,N=1(NC(=CN=1)C2(=NN(C(=C2N(=O)=O)N(=O)=O)N)),,
1.76,7807,26.7,5487.0,653.0,438.87,N1(=NC(=CN1)C2(=NN(C(=C2N(=O)=O)N(=O)=O)N)),,
1.58,7470,22.8,5212.9,782.0,468.59,N=1(ON=C(C=1)N2(N(NC(=C2N)N)N)).N(O)O,,
1.75,8131,28.8,5573.5,709.5,704.96,C=1(N=C(N)N(N=1)NNN2(C(N(=O)=O)=NN=C2N(=O)=O))(N),,
1.39,4962,9.2,2183.6,865.4,-88.35,N(C1(=CC=C(N(=O)=O)C=C1N))(C)C,,
1.63,6121,15.6,2226.2,949.4,367.67,N2(=C(N(N)C(C1(=NNC=C1))=N2)N),,
1.83,8398,31.5,5865.7,671.7,488.04,N=1(N(C(=C(N=1)N(=O)=O)C2(=C(N(=O)=O)N(N)N=C2N(=O)=O))N),,
1.79,8092,28.9,5374.4,730.0,504.52,N=1(N=C(NN=1)C2(NNCN2(N(=O)=O))),,
1.47,5361,11.2,1939.4,895.2,291.19,N=1(NC(=NC=1)C2(=NC=NC2N)),,
1.74,7830,26.6,4994.8,699.6,400.59,N=1(N(C(=NC=1N)N2(N=C(N)N=C2N(=O)=O))N(=O)=O),,
1.84,8192,30.1,5377.8,648.1,283.67,N1(C(=C(N=C1N)C2(=NNC(=N2)N(=O)=O))N(=O)=O)(N(=O)=O),,
1.49,4768,8.9,2398.1,647.3,96.9,C=1(C(N(=O)=O)=CC=C(C=1N=CC=2(C=CN=CC=2))N),,
1.45,4219,6.9,2082.7,582.1,-4.68,C3(C(C1(=CC=CC=C1))=NNC(C=2(C=CC(=CC=2)N(=O)=O))=O)(=NC=CC=C3),,
1.53,5699,13.0,4040.2,557.3,-174.81,N1(CC(C1)(N(=O)=O)N(=O)=O)(C(C2(=CC=CC=C2))=O),,
1.45,4521,7.9,2483.4,575.9,-291.86,C1(=C(C=C(C=C1)N=CC2(=C(O)C(=CC=C2)OC))N(=O)=O),,
1.45,4521,7.9,2483.4,575.9,-291.86,C1(=CC=C(C=C1N(=O)=O)N=CC2(=CC=CC(OC)=C2(O))),,
1.46,4314,7.2,2370.0,523.9,-500.69,O=C(C)C(=CC1(=CC=C(O1)C=2(C=CC=C(N(=O)=O)C=2)))C(=O)C,,
1.58,5425,12.0,2626.0,551.7,-781.24,COC=1(C(O)=C(N(=O)=O)C=C(C=1)C(=O)O),,
1.72,8890,34.1,7487.8,704.3,1035.33,C1(N(=O)=O)(=NC(=NN1)NNN2(N=CN=N2)).N(=O)O.N(O)=O,,
1.39,4064,6.2,1747.2,639.3,-659.06,O(C1(C(C)=O)(C2(CCC(C1)C=C2)))C(C3(=CC=C(N(=O)=O)C=C3))=O,,
1.39,4068,6.2,1763.6,639.3,-653.88,O(C(C1(=CC=C(N(=O)=O)C=C1))=O)C2(C(C)=O)(C3(C=CC(C2)CC3)),,
1.55,5881,13.9,3059.5,671.5,-357.64,N1(=C(OC)N=C(C(=C1OC)N(=O)=O)N),,
1.67,7480,23.7,5162.9,680.4,415.75,N=1(N(C(=NC=1N(=O)=O)C2(=NC=NC2(N)N))N(=O)=O),,
1.83,9383,39.4,9037.6,633.7,1129.19,N2(=C1(N(N(CCN1N(=O)=O)N(=O)=O)N=N2)),,
1.86,8707,34.3,6418.9,622.0,424.82,N=1(N(C(=C(N=1)N(=O)=O)C2(=C(N(=O)=O)NN=C2N(=O)=O))N(=O)=O),,
1.71,6808,19.9,2793.9,875.3,500.5,C=2(N)(NN=C(NNC=1(NN=CN=1))N=2),,
1.34,3508,4.5,1136.3,751.4,-179.1,N1(C=3(C(C=2(C1=CC=CC=2))=CC(N(=O)=O)=CC=3))(CCCC),,
1.37,5191,10.0,3348.5,699.3,-217.21,C1(=C(C(C)=C(C(N(=O)=O)=C1C)C)N(=O)=O)(C),,
1.89,9133,38.0,7589.7,659.9,686.05,N1(=C(N(=O)=O)C(=NO1)[N+]2(NC(N(=O)=O)=CN2)),,
1.64,6627,18.4,5188.5,530.5,-202.92,O=C(OC)C(C=2(C([N+]1(O)(OO1))=CC(N(=O)=O)=CC=2))C3(=C(N(=O)=O)C=C(N(=O)=O)C=C3),,
1.66,7008,20.7,4124.1,746.1,382.7,N1(=NC(=C(N1)N(=O)=O)C=2(N(N)C=C(N)N=2)),,
1.75,7662,25.6,4986.0,680.4,370.6,N=1(NC(=C(N=1)N(=O)=O)C=2(N(N)N=C(N)C=2N(=O)=O)),,
1.77,7728,26.2,4999.8,680.4,374.13,N1(=NC(=C(N1)N(=O)=O)C=2(N(N)N=C(C=2N(=O)=O)N)),,
1.43,4950,9.3,3221.6,617.8,83.25,N(NC(C)C=1(C(N(=O)=O)=CC=CC=1))C(C)C2(=C(C=CC=C2)N(=O)=O),,
1.42,4932,9.3,3192.7,617.8,73.81,C=1(C=CC=CC=1N(=O)=O)(C(C)NNC(C)C=2(C=CC=CC=2(N(=O)=O))),,
1.42,4988,9.5,3110.2,641.4,9.53,O=N(=O)C=1(C=CC(=C(C=1)N(=O)=O)NN=C(C=2(C=CC=CC=2))CC),,
1.76,7640,25.6,4814.6,680.4,326.88,N1(N=C(N=C1N(=O)=O)C=2(N(N(=O)=O)N=C(N)C=2N)),,
1.76,7640,25.6,4814.6,680.4,326.87,N1(N=C(N=C1N(=O)=O)C=2(N(N(=O)=O)N=C(N)C=2N)),,
1.75,7578,25.0,4764.5,680.4,314.1,C=1(N(=O)=O)(N=C(NN=1)C2(=C(C(=NN2N(=O)=O)N)N)),,
1.33,4015,5.8,1527.8,821.1,-150.56,O=N(=O)C=1(C=C2(C(=CC=1)N3(CCCCC3(C2)))),,
1.8,8403,31.3,5224.0,836.8,634.69,N1(=NN(C(=N1)C2(N(C(NN2)N)N(=O)=O))N),,
1.77,7869,27.2,5609.2,653.0,468.2,N1(=NC(=C(N1N)C=2(N(N(=O)=O)C=NC=2))N(=O)=O),,
1.41,5372,10.9,2506.5,891.1,-158.93,N1(C(=NC=C1)N(=O)=O)(CC(O)CN2(C(C)C2)),,
1.67,6797,19.6,3554.9,746.1,263.08,N=1(N(C(=NC=1N)C=2(NC=NC=2N(=O)=O))N),,
1.57,5180,10.9,2736.8,502.6,-444.21,C1(=CC(N(=O)=O)=CC=C1)(C(O)=O),,
1.84,8587,33.1,5973.0,665.8,546.11,N1(N=NC(=N1)C=2(N(N(=O)=O)N=C(N=2)N(=O)=O)),,
1.47,4867,9.2,2051.4,768.7,-187.99,O=C(C1(=CC=CC=C1))CCN2(C(NCC2)=NN(=O)=O),,
1.75,8645,32.6,7208.3,688.2,684.06,N1(=CC(NN=C(C(=NN)N(=O)=O)N(=O)=O)=NO1),,
1.76,6796,20.2,4250.7,556.2,-145.5,N1(C(N=C(C=C1)N)=O)(C=2(C(=CC(=CC=2N(=O)=O)N(=O)=O)N(=O)=O)),,
1.74,7875,26.9,5311.0,673.5,424.65,N1(=C(N)N=C(N1N(=O)=O)N2(C(=NC=N2)N(=O)=O)),,
1.61,6875,19.5,4151.8,746.1,388.52,C1(=NC(=NN1N)C2(=NC(N)C(=N2)N(=O)=O)),,
1.32,4031,5.8,1270.9,841.2,-629.55,O(C(C=1(C=CC(NC(C)(C)C)=C(C=1)N(=O)=O))=O)CC,,
1.77,8577,32.3,6857.2,628.6,551.09,N(NC1(=NON=C1C(N(=O)=O)N(=O)=O))C2(=NON=C2(C(N(=O)=O)N(=O)=O)),,
1.65,6696,18.8,4775.6,602.7,227.2,O1(N=C(C(=N1)C)C2(=NNC=C2(N(=O)=O))),,
1.63,7194,21.5,4829.9,746.1,531.04,N=1(N(C(=CN=1)C=2(N(N)N=CC=2N))N(=O)=O),,
1.55,7993,25.8,5304.2,1022.5,1045.78,C1(=NC(=NN1(N))NN).N2(N=NC=N2)(N),,
1.81,8163,29.7,5449.9,673.5,458.15,N=1(N(C(=NC=1N(=O)=O)N2(C(N)=NN=C2))N(=O)=O),,
1.78,8106,28.9,5630.8,648.1,355.79,C1(=NC(=NN1N(=O)=O)C2(=NC(C(=N2)N)N(=O)=O))(N(=O)=O),,
1.85,8867,35.5,6414.0,666.4,95.89,N1(C=C(N=C1N(=O)=O)N(=O)=O)(NCC(N(=O)=O)(N(=O)=O)N(=O)=O),,
1.4,4166,6.5,1777.5,664.7,-670.86,N(C1(=CC=C(C=C1)C2(=CCCCOC(=O)C(C2)C(C)=O)))(=O)=O,,
1.71,7685,25.4,5824.0,604.6,-16.79,C=1(C(N(=O)=O)=CC(N(=O)=O)=CC=1N(=O)=O)(N(C)N(=O)=O),,
1.71,7685,25.4,5823.9,604.6,-16.81,C=1(C(N(=O)=O)=CC(N(=O)=O)=CC=1N(=O)=O)(N(C)N(=O)=O),,
1.75,8129,28.8,5887.1,673.5,563.56,N=2(N=C(C=1(N(C=NC=1N)N(=O)=O))N(N(=O)=O)N=2),,
1.76,8351,30.5,6197.6,688.2,437.34,N=1(ON=C(C=1N(=O)=O)[N+]=CC(N(=O)=O)NNN),,
1.65,6876,19.9,3873.2,746.1,329.97,C=1(N=C(N(N=1)N)C2(=C(N(=O)=O)NN=C2(N))),,
1.4,4502,7.6,1912.9,780.6,10.05,N1(=CC(N(=O)=O)=CC=C1NC2(=CC=C(N(C)C)C=C2)),,
1.78,7839,27.1,5023.9,704.8,432.91,C2(=NN(N(=O)=O)C(C=1(C(=NN(C=1N)N)N(=O)=O))=N2)(N),,
1.74,7921,27.3,5368.6,673.5,438.55,N=1(N(C(=NC=1)N2(N=C(N(=O)=O)N=C2N(=O)=O))N),,
1.73,7162,22.2,4014.9,746.1,359.75,N1(=NC(=C(N1)N)C=2(N(N(=O)=O)C=C(N=2)N)),,
1.62,6380,16.9,2426.0,994.6,437.1,N1(=NC(=C(N1(N))N)C=2(N(N)C=NC=2)),,
1.58,6440,16.9,2962.2,949.4,489.23,N=1(N(C(=CN=1)C=2(C=CN(N)N=2))N),,
1.55,6154,15.3,2158.4,989.2,391.02,N1(=C(N)N=C(N1N)N2(N=C(N)N=C2)),,
1.58,6883,19.4,4596.2,699.5,103.73,N(=O)(=O)C1(=NNN=C1C),,
1.66,7252,22.2,4291.6,795.8,482.33,N2(=NC(N)=C(C1(=NN(C=C1N(=O)=O)N))N2N),,
1.72,7742,25.9,5239.1,704.8,491.03,N=1(N(C(=C(N=1)N)C=2(N(N=C(C=2N(=O)=O)N(=O)=O)N))N),,
1.33,4176,6.3,1998.7,719.5,-103.73,O(C1(=CC=C(C=C1)CNN=C(C)C=2(C=CC(N(=O)=O)=CC=2)))CC,,
1.64,7034,20.7,4306.2,746.1,420.98,N2(=NC(=C(C1(=C(N)NN=C1))N2N(=O)=O)N),,
1.75,7690,25.8,4908.9,643.9,276.79,C=2(C=1(NN=C(N=1)N(=O)=O))(NN=C(N=2)N(=O)=O),,
1.78,7846,27.1,5088.4,643.9,317.38,N=2(NC(C=1(NN=C(N=1)N(=O)=O))=NC=2N(=O)=O),,
1.75,7691,25.8,4919.1,643.9,279.11,N2(=C(N(=O)=O)N=C(C=1(NN=C(N=1)N(=O)=O))N2),,
1.78,7796,26.8,4968.8,643.9,290.33,C=2(NN=C(C1(=NNC(=N1)N(=O)=O))N=2)(N(=O)=O),,
1.78,7861,27.3,5086.8,643.9,317.03,C1(=NNC(=N1)C2(=NC(=NN2)N(=O)=O))(N(=O)=O),,
1.78,7846,27.1,5088.4,643.9,317.39,C1(=NNC(=N1)C2(=NC(=NN2)N(=O)=O))(N(=O)=O),,
1.75,7744,26.2,5146.2,680.4,411.48,N=1(N(C(=C(N=1)N)C=2(NN=C(C=2(N))N(=O)=O))N(=O)=O),,
1.71,7588,24.8,5089.1,680.4,396.91,N1(=NC(=C(N1N(=O)=O)C=2(C(N)=C(N(=O)=O)NN=2))N),,
1.71,7755,25.8,5088.9,749.3,733.04,N1(=CN(C(=N1)N(=O)=O)NNN2(C(N)=NN=C2N)),,
1.52,6227,15.5,5021.5,559.6,21.61,C1(=CC(C=CN1O)N(=O)=O),,
1.52,6228,15.5,5022.1,559.6,21.7,C1(=CC(C=CN1O)N(=O)=O),,
1.52,6228,15.5,5021.8,559.6,21.65,C1(=CC(C=CN1O)N(=O)=O),,
1.62,6684,18.6,3297.1,795.8,258.4,N=1(N(C(=NC=1N)C=2(NC(N(=O)=O)=NC=2(N)))N),,
1.68,7655,24.9,6075.6,621.9,511.79,N=1(N(C(=CN=1)C=2(C=CN(N=2)N(=O)=O))N(=O)=O),,
1.74,8621,32.3,7243.7,688.2,692.71,N1(=CC(=NO1)NC(C(=NNN)N(=O)=O)N(=O)=O),,
1.64,7011,20.6,4235.4,746.1,406.09,N=2(NC(C1(=NN(C(=C1)N(=O)=O)N))=C(N=2)N),,
1.7,7211,22.3,4303.7,746.1,420.44,N=2(NC(N)=C(C1(=NN(C(=C1)N(=O)=O)N))N=2),,
1.71,7390,23.4,4714.5,746.1,506.78,N=1(N(C(=CN=1)C2(=C(N(=O)=O)N(N)N=C2))N),,
1.37,4298,6.8,1397.5,887.1,-650.4,C12(N(=O)=O)(CCCCCC2(O)(CC(=O)CC1)),,
1.41,5269,10.5,3758.5,632.2,181.87,C1(=CC=CC=C1)(CN(N(=O)=O)C#N),,
1.83,8277,30.6,5760.4,732.2,506.05,N=1(ON=C(C=1)[N+]2(N=C(N)C(N)=N2)).N(O)=O,,
1.63,6658,18.5,4540.4,621.8,332.83,N=1(NC=C(N=1)C2(=CN(C=N2)N(=O)=O)),,
1.66,6740,19.2,4529.8,621.8,330.92,N1(=NNC(=C1)C2(=CN(C=N2)N(=O)=O)),,
1.67,6702,19.1,2664.7,943.8,442.72,N=1(N=C(NN=1)C=2(N(C(=NC=2)N)N)),,
1.79,8343,30.8,6051.2,671.7,543.72,N2(=NC(C1(=NN(C(=C1N(=O)=O)N(=O)=O)N))=C(N2N)N(=O)=O),,
1.71,7585,24.7,4930.6,704.8,407.68,C1(=NN(N)C(=N1)C2(=C(N(N(=O)=O)N=C2N(=O)=O)N))(N),,
1.74,8154,28.9,6338.3,621.9,485.17,N=1(N(C(=C(N=1)C2(=CN(C=N2)N(=O)=O))N(=O)=O)N(=O)=O),,
1.73,6684,19.3,3921.3,621.8,221.32,N1(=NC(=CN1)C2(=C(N=CN2)N(=O)=O)),,
1.76,6833,20.4,4064.1,621.8,247.05,N1(=NC(=CN1)C=2(N=CNC=2N(=O)=O)),,
1.73,6720,19.6,3980.9,621.8,232.06,N2(=NNC(C=1(N=CNC=1(N(=O)=O)))=C2),,
1.69,6632,18.8,4029.3,621.8,240.78,N1(=NC=C(N1)C2(=C(N=CN2)N(=O)=O)),,
1.51,4847,9.3,1206.7,895.2,181.17,N2(=CN=C(C1(=CN=C(N1)N))N2),,
1.56,5017,10.2,1259.5,895.2,189.1,N1(C(N)=NC(=C1)C=2(N=CNN=2)),,
1.78,8485,31.7,5890.5,734.0,559.27,N1(=NN(C(=N1)C=2(NC(N(N=2)N(=O)=O)N(=O)=O))N),,
1.48,4011,6.3,2635.7,397.9,-132.43,C1(=C2(C(=CC=C1N(=O)=O)C=3(C=CC=CC=3(C2=O)))),,
1.48,4011,6.3,2636.0,397.9,-132.38,C=1(C(N(=O)=O)=CC=C2(C=1C(C3(=CC=CC=C23))=O)),,
1.75,7985,27.8,5752.7,643.9,467.59,C1(=NC(=NN1(N(=O)=O))C=2(N=CN(N=2)N(=O)=O)),,
1.74,8724,33.0,7034.1,718.7,952.71,C=1(NN=C(N=1)NNNNC(=NNN(=O)=O)N(=O)=O),,
1.62,6666,18.4,4040.3,688.7,304.43,C=1(N(=O)=O)(NN=C(N=1)C=2(N=CC(N=2)N)),,
1.54,5728,13.2,3900.4,563.1,28.8,C(C1(=NC=CN=C1OC))=NNC=2(C(=CC(N(=O)=O)=CC=2)N(=O)=O),,
1.4,4541,7.8,2056.4,655.5,-718.04,C(O)(C(C(=O)OC)C)C=1(C=CC(N(=O)=O)=CC=1),,
1.72,8184,28.9,6537.0,732.2,672.35,N1(=C(C(=NO1)[N+]2(N(C(C=N2)N(=O)=O)N))N),,
2.04,9724,43.7,8557.2,622.0,1335.27,O=N(N2(C3(C1(N(N(=O)=O)C4(C(N1N(=O)=O)N(C2C(N3N(=O)=O)N4(N(=O)=O))N(=O)=O)))))=O,,
1.78,8990,35.6,7846.1,653.8,726.89,N1(=CC(=NO1)N2(C(N(=O)=O)C=NN2N(=O)=O)).N(=O)O,,
1.68,7606,24.6,5972.2,615.1,451.26,N=1(ON=C(C=1)C=2(N(N=CN=2)N(=O)=O)),,
1.68,7606,24.6,5972.2,615.1,451.26,N=1(ON=C(C=1)C=2(N(N=CN=2)N(=O)=O)),,
1.48,4382,7.5,2227.7,545.8,-570.04,N(=O)(=O)C=2(C=C(C(=O)C1(=CC=C(OCC)C=C1O))C=CC=2),,
1.66,8104,27.7,6337.1,782.0,726.2,N1(=C(C(=NO1)N(N)C(=CNNN)N(=O)=O)N),,
1.71,7246,22.6,4439.1,669.2,135.42,N12(C(C(=CNC1=NN=N2)N(=O)=O)O),,
1.66,7281,22.4,4893.4,685.3,474.72,N1(=CN=C(N1N(=O)=O)C=2(N(N=CN=2)N)),,
1.64,7233,21.9,4972.7,685.3,490.29,N=1(N(C(=NC=1)C=2(N(N)N=CN=2))N(=O)=O),,
1.67,7284,22.4,4893.4,685.3,474.72,C=1(N=C(N(N=1)N(=O)=O)C2(=NC=NN2N)),,
1.66,7281,22.4,4893.4,685.3,474.73,C1(=NN(C(=N1)C=2(N(N)N=CN=2))N(=O)=O),,
1.38,5194,10.1,3078.1,737.7,-165.23,C1(=CC=C(OC)C=C1)(N(N(=O)=O)C),,
1.43,4687,8.4,2643.3,625.1,-252.38,N(=O)(=O)C2(=C1(OC(C)CC1=CC=C2)),,
1.46,4345,7.3,1778.2,612.2,-624.41,O=C3(C1(=C(OC(=CC1CN(=O)=O)C=2(C=CC=CC=2))N(C(N3C)=O)C)),,
1.83,8761,34.4,6976.5,636.6,1545.05,N(C=1(C(=NON=1)NN(O)C2(=NON=C2NN(=O)=O)))NC3(=NON=C3NN(C4(=NON=C4NN(=O)=O))O),,
1.77,7636,25.6,4959.9,653.0,312.28,N1(C=NC(=N1)C=2(NN=C(N)C=2N(=O)=O))(N(=O)=O),,
1.77,7639,25.6,4959.4,653.0,312.16,N1(N(=O)=O)(N=C(N=C1)C2(=C(C(=NN2)N)N(=O)=O)),,
1.71,7577,24.7,4869.4,704.8,391.17,N1(=C(N)N=C(N1N)C2(=NC(=C(N2N)N(=O)=O)N(=O)=O)),,
1.43,4504,7.7,2550.4,583.8,-138.84,O=N(C1(=CC=CC=C1CN2(C=CC=C2(C=O))))=O,,
1.6,5027,10.4,2254.9,609.0,-788.47,O1(C(CO)C(C(O)C1N3(C=2(C(=CC(N(=O)=O)=CC=2)C=C3)))O),,
1.68,7236,22.3,3809.9,839.4,431.08,N=1(N(C(=C(N=1)N)C=2(N(N)C(N)=NC=2N))N(=O)=O),,
1.6,6903,19.6,2938.8,1017.3,452.97,N=2(N=C(C=1(NC(NN=1)N))NN=2),,
1.65,8083,27.5,7595.5,669.2,716.55,N=1(ON=C(C=1N(=O)=O)[N+]2(NC=CN2)),,
1.77,8159,29.2,5864.0,648.1,422.29,N=1(N(C(=NC=1)C=2(N(N(=O)=O)C(N(=O)=O)=NC=2N))N(=O)=O),,
1.86,8777,34.9,6422.6,644.6,499.63,N1(=NC(=C(N1N)N(=O)=O)C2(=C(N=C(N2N(=O)=O)N(=O)=O)N(=O)=O)),,
1.77,8599,32.4,6705.4,713.1,639.18,N=1(ON=C(C=1N(=O)=O)NC(C(N)=NNN)N(=O)=O),,
1.75,8093,28.6,5839.9,648.1,415.43,N1(N(=O)=O)(N=C(N=C1)C2(=C(C(=NN2N(=O)=O)N)N(=O)=O)),,
